,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
250,12,train,우리 반은 도서관에서 number0 권의 책을 받았습니다. 그 다음 우리는 도서관에서 number1 권의 더 많은 책을 얻었습니다. 우리 수업은 도서관에서 몇 권의 책을 얻었습니까?,54 23,+ number0 number1,77.0,"[1, 2, 3, 4, 6, 11, 12, 13, 14, 26, 27, 28]",2,Addition,our class got number0 books from the library . then we got number1 more books from the library .,how many books did our class get from the library ?
251,13,train,유정이는 월요일에 number0 명의 아이들과 술래잡기 했습니다. 그녀는 화요일에 number1 명의 아이들과 술래잡기 했다. 그녀는 모두 몇 명의 아이들과 놀았습니까?,12 7,+ number0 number1,19.0,"[1, 3, 4, 5, 12, 13, 14, 23, 24, 25]",2,Addition,julia played tag with number0 kids on monday . she played tag with number1 kids on tuesday .,how many kids did she play with altogether ?
252,14,train,은지는 생일 케이크에 number0 개의 양초를 달았습니다. 그녀는 나이가 들었고 생일 케이크에서 number1 개의 더 많은 숫자를 얻었습니다. 지금 은지는 몇 살이야?,14 6,+ number0 number1,20.0,"[1, 2, 3, 4, 13, 14, 15, 23, 24, 25]",2,Addition,molly had number0 candles on her birthday cake . she grew older and got number1 more on her birthday cake .,how old is molly now ?
253,15,train,"호석이는 저녁 식사 전에 당근 스틱 number0 개를, 저녁 식사 후에 number1 개를 더 먹었습니다. 그는 얼마나 많은 당근 스틱을 먹었습니까?",22 15,+ number0 number1,37.0,"[1, 2, 3, 4, 6, 7, 8, 9, 17, 18, 19]",2,Addition,james ate number0 carrot sticks before dinner and number1 more after dinner .,how many carrot sticks did he eat ?
254,16,train,민영이는 그녀의 양동이에 number0 pounds의 조개를 채웠습니다. 그녀가 양동이를 채우기 위해 number1 pounds의 조개를 더 추가하면 그녀는 얼마나 많은 pounds 조개를 가지고 있습니까?,5 12,+ number0 number1,17.0,"[2, 4, 5, 6, 12, 13, 14, 15, 17, 25, 26, 27]",2,Addition,jovana filled her bucket with number0 pounds of shells . if she adds number1 more pounds of shell to fill her bucket,how many pounds does she have ?
255,17,train,유나의 머리카락은 number0 cube long입니다. 그녀의 머리카락이 number1 inch 더 자라면 얼마나 길어질까요?,18 4,+ number0 number1,22.0,"[3, 4, 5, 11, 12, 13, 14, 17, 18, 19]",2,Addition,isabella 's hair is number0 cubes long . if her hair grows number1 more inches,how long will it be ?
256,18,train,유정이는 number0 마리의 고양이가 있습니다. 태형이는 그녀에게 number1 등 고양이를 마리를 더 주었다. 유정이는 모두 몇 마리의 고양이를 가지고 있습니까?,17 14,+ number0 number1,31.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 19, 20, 21]",2,Addition,mrs. sheridan has number0 cats . mr. sheridan gave her number1 more cats .,how many cats does mrs. sheridan have altogether ?
257,19,train,은지는 number0 물고기를 가지고 있습니다. 그녀의 여동생은 그녀에게 물고기를 number1 더 많이 주었다 그녀는 지금 얼마나 많은 물고기를 가지고 있습니까?,22 47,+ number0 number1,69.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 18, 19, 20]",2,Addition,mrs. sheridan has number0 fish . her sister gave her number1 more fish .,how many fish does she have now ?
258,20,train,호석이는 국수를 조금 가지고 있다. 그는 윤기에게 number0 가닥의 국수를 주었다. 이제 호석이는 number1 가닥의 국수만 가지고 있습니다. 호석이는 가닥의 국수로 시작 했습니까?,12 54,+ number1 number0,66.0,"[1, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]",2,Addition,daniel had some noodles . he gave number0 noodles to william . now daniel only has number1 noodles .,how many noodles did daniel have to begin with ?
259,21,train,유나는 number0 하트 쿠키를 만들었습니다. 그녀는 number1 레드 쿠키를 만들었고 나머지는 핑크입니다. 그녀는 핑크 쿠키를 몇 개 만들었습니까?,86 36,- number0 number1,50.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 22, 23, 24]",2,Subtraction,mrs. snyder made number0 heart cookies . she made number1 red cookies and the rest are pink .,how many pink cookies did she make ?
260,22,train,number0 마리의 새가 나무에 앉아 있었다. 다른 새들도 나무로 날아갑니다. 그 다음 나무에 number1 마리의 새가 있었다. 얼마나 더 나무 위로 날아 갔습니까?,29 42,- number1 number0,13.0,"[0, 1, 2, 3, 32, 18, 19, 20, 30, 31]",2,Subtraction,number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree .,how many more flew up to the tree ?
261,23,train,number0 명의 아이들이 버스를 타고 있었다. 버스 정류장에서 더 많은 아이들이 버스에 탔습니다. 그 다음 버스에는 모두 number1 아이들이 있었다. 버스 정류장에서 몇 명의 아이들이 버스에 탔습니까?,18 25,- number1 number0,7.0,"[0, 1, 2, 3, 38, 39, 40, 13, 15, 22, 23, 24]",2,Subtraction,number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .,how many children got on the bus at the bus stop ?
262,24,train,쉬는 시간에 놀이터에는 number0 명의 소녀와 number1 의 소년이있었습니다. 모두 몇 명의 아이들이 있었습니까?,28 35,+ number0 number1,63.0,"[1, 2, 3, 4, 5, 6, 17, 18, 19]",2,Addition,there were number0 girls and number1 boys on the playground at recess .,how many children were there in all ?
263,25,train,코끼리는 number0 개의 땅콩을 가지고있었습니다. 코끼리는 그들 중 number1 을 먹었습니다. 코끼리는 얼마나 많은 땅콩을 남겼습니까?,407 129,- number0 number1,278.0,"[1, 2, 3, 4, 7, 8, 9, 17, 18, 19]",2,Subtraction,the elephant had number0 peanuts . she ate number1 of them .,how many peanuts did the elephant have left ?
264,26,train,습지에는 number0 마리의 거위와 number1 마리의 오리가있었습니다. 모두 몇 마리의 새가 있었습니까?,58 37,+ number0 number1,95.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",2,Addition,there were number0 geese and number1 ducks in the marsh .,how many birds were there in all ?
265,27,train,은지는 number0 개의 껌을 가지고있었습니다. 그녀의 오빠는 그녀에게 더 많은 조각을주었습니다. 이제 은지는 모두 number1 개의 껌을 가지고 있습니다. 은지의 오빠가 그녀에게 껌을 몇 개 줬습니까?,18 44,- number1 number0,26.0,"[32, 1, 2, 3, 33, 5, 9, 17, 18, 19, 31]",2,Subtraction,robin had number0 pieces of gum . her brother gave her some more pieces . now robin has number1 pieces in all .,how many pieces of gum did robin 's brother give her ?
266,28,train,남준이가 풍선을 좀 가지고 있었어요. 그의 엄마는 생일에 풍선 number0 개를 더 주었다. 그때 남준이는 number1 풍선을 가지고 있었다. 남준이는 몇 개의 풍선으로 시작 했습니까?,34 60,- number1 number0,26.0,"[1, 2, 5, 7, 8, 9, 10, 11, 18, 19, 20, 28, 29, 30]",2,Subtraction,tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons .,how many balloons did tommy have to start with ?
267,29,train,윤기는 잭오 랜턴을 위한 양초를 가지고있었습니다. 그는 그들 중 number0 개를 사용했습니다. 이제 그는 number1 개 남았습니다. 윤기는 몇 개의 양초로 시작 했습니까?,32 12,+ number0 number1,44.0,"[10, 11, 12, 17, 18, 19, 27, 28, 29]",2,Addition,alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left .,how many candles did alex have to start with ?
268,30,train,축구장에 number0 명의 아이들이있었습니다. number1 명의 아이들이 함께하기로 했습니다. 이제 얼마나 많은 아이들이 축구장에 있습니까?,14 22,+ number0 number1,36.0,"[1, 2, 3, 8, 9, 10, 11, 22, 23, 24]",2,Addition,there were number0 kids on the soccer field . number1 kids decided to join in .,now how many kids are on the soccer field ?
269,31,train,물고기 매장에는 number0 마리의 금붕어가 있습니다. 그 중 number1 마리의 금붕어가 죽었습니다. 금붕어가 얼마나 남았습니까?,89 32,- number0 number1,57.0,"[1, 2, 3, 5, 6, 13, 14, 15]",2,Subtraction,finn has number0 goldfish . number1 of the goldfish die .,how many goldfish are left ?
270,32,train,은지는 오래된 갈색 도화지 number0 장과 노란색 도화지 number1 장을 가지고 있습니다. 그녀는 몇 장의 도화지를 가지고 있습니까?,28 27,+ number0 number1,55.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 24, 25, 26]",2,Addition,jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper .,how many pieces of drawing paper does she have ?
271,33,train,은지는 number0 개의 잎을 가지고 있었다. 그녀의 잎 중 일부가 날아 갔다. 이제 그녀는 number1 개의 잎이 남았습니다. 얼마나 많은 잎사귀가 날아 갔나요?,356 112,- number0 number1,244.0,"[1, 2, 3, 14, 15, 16, 23, 24, 25]",2,Subtraction,mikey had number0 leaves . some of her leaves blew away . now she has number1 leaves left .,how many of her leaves blew away ?
272,34,train,태형이는 number0 개의 야구 카드를 가지고 있습니다. 그는 석진이 보다 number1 가 더 많다. 석진이는 얼마나 많은 야구 카드를 가지고 있습니까?,210 58,- number0 number1,152.0,"[1, 2, 3, 4, 6, 7, 8, 9, 17, 18, 19]",2,Subtraction,marcus has number0 baseball cards . he has number1 more than carter .,how many baseball cards does carter have ?
273,35,train,정국은 number0 장의 셔츠를 가지고 있습니다. number1 장은 파란색이고 나머지는 녹색입니다. 정국이 가지고있는 초록색 셔츠는 몇 장입니까?,23 6,- number0 number1,17.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19]",2,Subtraction,gavin has number0 shirts . number1 are blue the rest are green .,how many green shirts does gavin have ?
274,36,train,호석이는 number0 개의 선물을 가지고 있습니다. 유정이는 호석이 보다 number1 개가 더 많습니다. 유정이는 몇 개의 선물을 가지고 있습니까?,31 22,+ number0 number1,53.0,"[1, 2, 3, 5, 6, 7, 8, 15, 16, 17]",2,Addition,ethan has number0 presents . alissa has number1 more than ethan .,how many presents does alissa have ?
275,37,train,일주일의 첫날에 석진은 number0 개의 스티커를 가졌습니다. 석진은 주중에 number1 개를 더 벌었습니다. 주말에 석진은 얼마나 많은 스티커를 가지고 있었습니까?,39 22,+ number0 number1,61.0,"[1, 5, 8, 9, 10, 13, 14, 15, 29, 30, 31]",2,Addition,on the first day of the week pat had number0 stickers . pat earned number1 more during the week .,how many stickers did pat have at the end of the week ?
276,38,train,민영이는 number0 개의 사과를 가졌습니다. 민영이가 number1 개의 사과를 갖기 위해 몇 개의 사과를 더 골라야합니까?,56 105,- number1 number0,49.0,"[1, 2, 3, 6, 10, 15, 16, 17, 18]",2,Subtraction,kelly had number0 apples .,how many more apples does kelly need to pick to have number1 apples altogether ?
277,39,train,호석이는 껌이 좀 있어요. 지민이는 그에게 껌을 number0 개 더 주었다. 이제 호석이는 number1 개의 껌을 가지고 있습니다. 호석이는 몇 조각부터 시작해야했을까요?,16 54,- number1 number0,38.0,"[1, 2, 4, 7, 8, 9, 10, 16, 17, 18, 28, 29, 30]",2,Subtraction,todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum .,how many pieces did todd have to start with ?
278,40,train,윤기는 number0 자루의 연필을 가지고 있었다. 그는 유정이에게 number1 자루의 연필을 주었다. 윤기가 남은 연필은 몇 개입니까?,142 31,- number0 number1,111.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,josh had number0 pencils . he gave number1 pencils to dorothy .,how many pencils does josh have left ?
279,41,train,정국은 야구 카드를 수집합니다. 그녀는 number0 장의 카드를 가졌습니다. 그녀는 자신의 카드 중 일부를 윤기에게 줬고 이제 number1 장의 카드가 남았습니다. 정국은 윤기에게 몇 장의 카드를 주었습니까?,304 276,- number0 number1,28.0,"[32, 1, 5, 6, 7, 8, 10, 20, 21, 22, 30, 31]",2,Subtraction,nell collects baseball cards . she had number0 cards . she gave some of her cards to jeff and now has number1 cards left .,how many cards did nell give to jeff ?
280,42,train,놀이터에는 number0 명의 소년과 몇 명의 소녀가 있습니다. 모두 number1 명의 아이들이 있습니다. 놀이터에 몇 명의 소녀가 있습니까?,40 117,- number1 number0,77.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23]",2,Subtraction,there are number0 boys and some girls on the playground . there are number1 children altogether .,how many girls are on the playground ?
281,43,train,은지는 약간의 구슬이 있습니다. 그녀는 number0 개의 구슬을 샀다. 이제 그녀는 number1 개의 구슬을 가지고 있습니다. 그녀는 몇 개부터 시작 했습니까?,134 187,- number1 number0,53.0,"[1, 2, 6, 7, 8, 12, 13, 14, 19, 20, 21]",2,Subtraction,carla has some marbles . she bought number0 marbles . now she has number1 marbles .,how many did she start with ?
282,44,train,지민은 number0 개의 쿠키가 있습니다. 그는 그들 중 number1 개를 먹었습니다. 지민에게 남은 쿠키는 몇 개입니까?,35 6,- number0 number1,29.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",2,Subtraction,paco had number0 cookies . he ate number1 of them .,how many cookies did paco have left ?
283,45,train,은지에게는 숫자 number0 개의 빨간색 마커와 number1 개의 파란색 마커가 있습니다. 그녀는 모두 몇 개의 마커를 가지고 있습니까?,41 64,+ number0 number1,105.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 16]",2,Addition,connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?
284,46,train,석진은 number0 개의 장난감 자동차를 가지고 있었다. 그가 number1 개의 장난감 자동차를 더 얻는다면 그는 몇 개의 장난감 자동차를 가질 수 있을까요?,50 12,+ number0 number1,62.0,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 16, 17, 18]",2,Addition,joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?
285,47,train,헛간에 number0 마리의 돼지가 있습니다. 더 많은 사람들이 그들과 함께합니다. 이제 number1 마리의 돼지가 있습니다. 얼마나 많은 돼지가 그들과 합류하러 왔습니까?,64 86,- number1 number0,22.0,"[1, 2, 3, 17, 18, 19, 25, 26, 27]",2,Subtraction,there are number0 pigs in the barn . some more come to join them . now there are number1 pigs .,how many pigs came to join them ?
286,48,train,유나는 number0 의 꽃을 가지고있었습니다. 석진는 그녀에게 꽃을 더주었습니다. 이제 유나는 number1 꽃을 가지고 있습니다. 석진이가 유나에게 얼마나 많은 꽃을 주었습니까?,67 90,- number1 number0,23.0,"[1, 2, 3, 4, 5, 14, 15, 16, 23, 24, 25]",2,Subtraction,rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers .,how many flowers did andre give to rosa ?
287,49,train,정국이는 number0 개의 블록으로 타워를 만들었습니다. 그는 더 많은 블록을 추가했고 이제 그는 number1 개의 블록을 갖게되었습니다. 얼마나 더 추가해야 했습니까?,35 65,- number1 number0,30.0,"[1, 3, 4, 5, 6, 8, 16, 17, 18, 24, 25, 26]",2,Subtraction,adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks .,how many did he have to add ?
288,50,train,유정이는 양동이에 number0 개의 조개를 넣었다. 그녀는 더 많은 조개를 발견했고 이제 그녀는 number1 개의 조개를 가지고 있습니다. 그녀는 얼마나 더 찾았습니까?,68 89,- number1 number0,21.0,"[1, 2, 3, 8, 16, 17, 18, 23, 24, 25]",2,Subtraction,lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells .,how many more did she find ?
289,51,train,호석이는 그의 컬렉션에 number0 개의 구슬을 가지고있었습니다. 그는 number1 개의 구슬을 잃었습니다. 그는 지금 얼마나 많은 구슬을 가지고 있습니까?,16 7,- number0 number1,9.0,"[1, 2, 3, 5, 9, 10, 11, 17, 18, 19]",2,Subtraction,josh had number0 marbles in his collection . he lost number1 marbles .,how many marbles does he have now ?
290,52,train,유정은 number0 조개를 가지고 있습니다. 그녀의 컬렉션에서 number1 개의 조개 껍질을 얻으려면 얼마나 많은 조개 껍질을 찾아야합니까?,19 25,- number1 number0,6.0,"[1, 2, 3, 6, 10, 15, 16, 17, 18, 19, 20]",2,Subtraction,megan has number0 seashells .,how many more seashells does she need to find to have number1 seashells in her collection ?
291,53,train,지민이는 number0 개의 풍선이 있습니다. number1 개의 풍선은 빨간색이고 나머지는 녹색입니다. 지민이는 얼마나 많은 녹색 풍선을 가지고 있습니까?,17 8,- number0 number1,9.0,"[1, 2, 3, 5, 6, 8, 19, 20, 21]",2,Subtraction,brad has number0 balloons . number1 balloons are red and the rest are green .,how many green balloons does brad have ?
292,54,train,선반에 number0 권의 책이 있습니다. 정국이는 선반에 number1 권의 책을 더 놓았다. 지금 선반에 몇 권의 책이 있습니까?,38 10,+ number0 number1,48.0,"[1, 2, 3, 6, 9, 10, 11, 12, 22, 23, 24]",2,Addition,there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?
293,55,train,유나는 정원 주변에 경계를 만들고 싶어합니다. 그녀는 경계를 완성하기 위해 number0 개의 바위가 필요합니다. 그녀는 number1 개의 바위를 가지고 있습니다. 경계를 완성하려면 얼마나 많은 바위가 필요합니까?,125 64,- number0 number1,61.0,"[1, 2, 33, 34, 35, 6, 12, 13, 14, 21, 22, 23]",2,Subtraction,mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks .,how many more rocks does she need to complete the border ?
294,56,train,은지는 number0 개의 구슬이있었습니다. 그녀는 그들 중 number1 개를 잃었습니다. 그녀는 몇 개의 구슬을 남겼습니까?,38 15,- number0 number1,23.0,"[1, 2, 3, 4, 6, 7, 8, 9, 16, 17, 18]",2,Subtraction,mrs. hilt had number0 marbles . she lost number1 of them .,how many marbles does she have left ?
295,57,train,호석이와 그녀의 여동생은 number0 miles 떨어진 콘서트 장으로 운전했습니다. 그들은 number1 miles을 운전 한 다음 주유를 위해 멈췄습니다. 그녀의 여동생은 차에 number2 gallons의 가스를 넣었습니다. 운전할 수있는 거리가 얼마나 되었습니까?,78 32 28,- number0 number1,46.0,"[1, 2, 6, 8, 9, 10, 40, 41, 42, 14, 15, 16, 25, 26, 27]",2,Subtraction,mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .,how many miles did they have left to drive ?
296,58,train,민영이는 number0 마리의 나비를 보았다. 일부 나비는 빨간색이고 다른 일부는 주황색이었습니다. 나비 number1 마리가 주황색이라면 빨간색은 몇 마리 일까요?,33 20,- number0 number1,13.0,"[2, 3, 4, 17, 18, 19, 27, 28, 29]",2,Subtraction,mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange,how many of them were red ?
297,59,train,화요일에 유정이는 식당의 쟁반에서 number0 개의 건포도를 보았다. 그것은 그녀가 전날 본 것보다 number1 개 더 많은 건포도였다. 월요일에 식탁에 건포도가 몇 개 있었습니까?,88 8,- number0 number1,80.0,"[32, 1, 33, 3, 4, 5, 6, 34, 15, 16, 17, 18]",2,Subtraction,on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .,how many raisins were on the table on monday ?
298,60,train,민영이는 number0 마리의 뱀 number1 마리의 악어 number2 마리의 개구리와 number3 마리의 곰을 보았다. 민영이는 얼마나 많은 파충류를 보았는가?,21 11 36 57,+ number0 number1,32.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",2,Addition,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?
299,61,train,석진이는 축구 경기에서 number0 점을 득점했습니다. 호석은 number1 포인트를 득점했습니다. 석진이는 얼마나 더 많은 점수를 얻었습니까?,42 21,- number0 number1,21.0,"[1, 2, 3, 6, 10, 11, 12, 18, 19, 20]",2,Subtraction,zach scored number0 points in the football game . ben scored number1 points .,how many more points did zach score ?
300,62,train,유정이는 number0 pennies를 가지고 있습니다. 윤기는 number1 pennies를 가지고 있습니다. 윤기는 얼마나 더 많은 동전을 가지고 있습니까?,223 388,- number1 number0,165.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",2,Subtraction,kate has number0 pennies . john has number1 pennies .,how many more pennies does john have ?
301,63,train,호석이는 그의 뒤뜰에 number0 그루의 나무를 가지고 있습니다. 그가 number1 그루의 더 심으면 얼마나 많은 나무를 갖게 될까요?,13 12,+ number0 number1,25.0,"[1, 2, 3, 6, 10, 11, 12, 16, 17, 18]",2,Addition,mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?
302,64,train,남준이는 number0 dollars 가 있습니다. 그는 number1 dollars 에 캔디 바를 샀다. 남은 돈은 얼마입니까?,3.00 1.00,- number0 number1,2.0,"[1, 2, 3, 11, 12, 16, 17, 18]",2,Subtraction,dan has $ number0 . he bought a candy bar for $ number1 .,how much money is left ?
303,65,train,지민이는 민영이보다 number0 개 더 많은 눈덩이를 가지고 있습니다. 그녀는 number1 개의 눈덩이를 가지고 있습니다. 지민이는 몇 개 있어요?,31 19,+ number0 number1,50.0,"[1, 2, 3, 4, 9, 10, 11, 15, 16, 17]",2,Addition,charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?
304,66,train,석진이는 number0 개의 블록이 있습니다. 그는 number1 개의 블록을 사용하여 탑을 건설합니다. 남은 블록은 몇 개입니까?,78 19,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?
305,67,train,정국이는 number0 마리의 불곰 number1 마리의 백곰과 number2 마리의 흑곰을 가지고 있습니다. 정국이는 얼마나 많은 곰을 가지고 있습니까?,15 24 27,+ + number0 number1 number2,66.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,gino has number0 brown bears number1 white bears and number2 black bears .,how many bears does gino have ?
306,68,train,윤기는 number0 개의 빨간 펜 number1 개의 파란색 펜과 number2 개의 검은 색 펜을 가지고 있습니다. 그녀는 얼마나 많은 펜을 가지고 있습니까?,65 45 58,+ + number0 number1 number2,168.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,morgan has number0 red pens number1 blue pens and number2 black pens .,how many pens does she have ?
307,69,train,호석이는 number0 개의 skittles를 가지고 있습니다. 윤기는 number1 개의 m & m 를 가지고 있습니다. 호석이가 얼마나 더 가지고 있습니까?,50 20,- number0 number1,30.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?
308,70,train,"집을 짓는 동안 호석이는 못이 떨어지고 있다는 것을 알아 차리고 아버지에게 몇 개를 사겠다고 말했습니다. 만약 그들이 여전히 number0 개의 못을 남겼고 호석이가 number3 개가 들어있는 큰 못 number2 를 number1 상자 작은 못 number4 를 number5 개 샀다면, 얼마나 많은 못을 가질 것인가?",9 2 1 55 1 31,+ + number0 number5 number3,95.0,"[3, 9, 17, 27, 28, 29, 30, 31, 34, 35, 36, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51, 54, 55, 56]",3,Sum,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5,how many nails will they have ?
309,71,train,트리 하우스가 거의 완성되었습니다. 그들에게 필요한 것은 그것을 칠하는 것입니다. 그의 아버지는 number0 ounces의 흰색 페인트 number1 ounces의 녹색 페인트와 number2 ounces의 갈색 페인트를 사용할 것이라고 예상했습니다. 총 몇 ounces의 페인트를 사겠습니까?,20 15 34,+ + number0 number1 number2,69.0,"[32, 33, 1, 6, 7, 45, 46, 47, 20, 21, 22, 25, 26, 27, 31]",3,Sum,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .,how many ounces of paint would they buy in total ?
310,72,train,"트리 하우스를 마친 후 태형이의 어머니는 갓 구운 쿠키를 제공했습니다. 찰리가 number0 개의 쿠키를 먹었다면 그의 아버지는 number1 개, 어머니는 number2 개를 먹었을 때 총 몇 개의 쿠키를 먹었습니까?",15 10 5,+ + number0 number1 number2,30.0,"[32, 33, 2, 34, 7, 10, 15, 16, 17, 20, 21, 22, 26, 27, 28]",3,Sum,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2,how many cookies were eaten in total ?
